years,FossilSimpleTechno,RenewableSimpleTechno,CarbonCaptureAndStorageTechno
2019,62.92798111,27.03659976,10.03541913
2020,57.90200138,34.50655625,7.591442374
2021,57.54716981,33.01886792,9.433962264
2022,56.31667602,34.13812465,9.545199326
2023,58.68885414,36.84386866,4.467277195
2024,91.41337386,0,8.58662614
2025,92.39130435,0,7.608695652
2026,93.28254848,0,6.717451524
2027,94.09814324,0,5.901856764
2028,94.84732824,0,5.152671756
2029,95.53789731,0,4.462102689
2030,96.31728045,0,3.682719547
2031,96.76687465,0,3.233125355
2032,97.31800766,0,2.681992337
2033,97.83183501,0,2.168164992
2034,98.31202046,0,1.68797954
2035,98.76176325,0,1.238236751
2036,99.18386942,0,0.816130581
2037,99.58081043,0,0.419189567
2038,99.9547716,0,0.045228403
2039,100,0,0
2040,100,0,0
2041,100,0,0
2042,100,0,0
2043,100,0,0
2044,100,0,0
2045,100,0,0
2046,100,0,0
2047,100,0,0
2048,100,0,0
2049,100,0,0
2050,100,0,0
2051,100,0,0
2052,100,0,0
2053,100,0,0
2054,100,0,0
2055,100,0,0
2056,100,0,0
2057,100,0,0
2058,100,0,0
2059,100,0,0
2060,100,0,0
2061,100,0,0
2062,100,0,0
2063,100,0,0
2064,100,0,0
2065,100,0,0
2066,100,0,0
2067,100,0,0
2068,100,0,0
2069,100,0,0
2070,100,0,0
2071,100,0,0
2072,100,0,0
2073,100,0,0
2074,100,0,0
2075,100,0,0
2076,100,0,0
2077,100,0,0
2078,100,0,0
2079,100,0,0
2080,100,0,0
2081,100,0,0
2082,100,0,0
2083,100,0,0
2084,100,0,0
2085,100,0,0
2086,100,0,0
2087,100,0,0
2088,100,0,0
2089,100,0,0
2090,100,0,0
2091,100,0,0
2092,100,0,0
2093,100,0,0
2094,100,0,0
2095,100,0,0
2096,100,0,0
2097,100,0,0
2098,100,0,0
2099,100,0,0
2100,100,0,0
