age,distrib
1,2.81
2,2.81
3,2.81
4,2.81
5,2.81
6,2.78
7,2.75
8,2.72
9,2.69
10,2.66
11,2.61
12,2.57
13,2.52
14,2.48
15,2.43
16,2.37
17,2.32
18,2.26
19,2.2
20,2.15
21,2.11
22,2.08
23,2.04
24,2.01
25,1.97
26,1.94
27,1.9
28,1.87
29,1.84
30,1.8
31,1.77
32,1.73
33,1.7
34,1.66
35,1.63
36,1.59
37,1.56
38,1.52
39,0.07
40,1.49
41,0.07
42,0.07
43,0.07
44,0.07
45,0.07
46,0.07
47,0.07
48,0.07
49,0.07
50,1.11
51,1.49
52,1.49
53,0.07
54,0.07
55,0.07
56,0.07
57,0.07
58,0.07
59,0.79
60,0.76
61,0.73
62,0.69
63,0.66
64,0.62
65,0.59
66,0.55
67,0.52
68,0.48
69,0.45
70,0.07
71,1.49
72,0.07
73,0.07
74,0.07
75,0.07
76,0.07
77,0.07
78,0.06
79,0.06
80,0.06
81,0.02
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
