age,distrib
1,0.51
2,0.51
3,0.51
4,0.51
5,0.51
6,0.51
7,0.51
8,0.51
9,0.51
10,0.51
11,0.51
12,0.51
13,0.51
14,0.52
15,0.51
16,0.52
17,0.52
18,0.52
19,0.52
20,0.52
21,0.52
22,0.53
23,0.53
24,0.53
25,0.53
26,0.53
27,0.53
28,0.54
29,0.54
30,0.54
31,0.54
32,0.54
33,0.54
34,0.54
35,0.55
36,0.55
37,0.55
38,0.55
39,0.55
40,1.52
41,1.55
42,1.56
43,1.56
44,1.56
45,0.56
46,0.56
47,0.56
48,0.56
49,0.57
50,0.57
51,1.52
52,1.52
53,0.57
54,0.57
55,0.57
56,0.57
57,0.58
58,0.58
59,0.58
60,0.58
61,0.58
62,0.58
63,0.58
64,0.59
65,0.59
66,0.59
67,0.59
68,0.59
69,0.59
70,0.59
71,1.52
72,0.6
73,0.6
74,0.6
75,0.6
76,0.6
77,0.6
78,0.61
79,0.61
80,0.61
81,0.61
82,0.7
83,0.7
84,0.7
85,0.7
86,0.7
87,0.7
88,0.71
89,0.7
90,0.7
91,0.71
92,0.71
93,0.63
94,0.63
95,0.64
96,0.64
97,0.64
98,0.64
99,0.64
100,0.65
101,0.65
102,0.65
103,0.65
104,0.65
105,0.65
106,0.65
107,0.66
108,0.66
109,0.66
110,0.66
111,0.66
112,0.66
113,0.66
114,0.67
115,0.67
116,0.67
117,0.67
118,0.67
119,0.67
120,0.67
121,0.68
122,0.68
123,0.68
124,0.68
125,0.68
126,0.68
127,0.68
128,0.69
129,0.69
130,0.69
131,0.69
132,0.69
133,0.69
134,1.53
135,0.69
136,0.7
137,0.7
138,0.7
139,0.7
140,0.7
141,0.7
142,0.7
143,0.71
144,0.98
145,0.71
146,0.71
147,0.71
148,0.71
149,0.71
