years,production,unit
1990,18370.5875,TWh
1991,18873.95528,TWh
1992,19135.62528,TWh
1993,19486.54778,TWh
1994,19814.36028,TWh
1995,20365.18472,TWh
1996,20841.40972,TWh
1997,20918.9875,TWh
1998,21163.00139,TWh
1999,21622.88306,TWh
2000,21710.03944,TWh
2001,21717.85889,TWh
2002,22014.94472,TWh
2003,22208.18222,TWh
2004,22953.40194,TWh
2005,23430.80361,TWh
2006,23929.52528,TWh
2007,24004.7825,TWh
2008,24457.19194,TWh
2009,24592.80528,TWh
2010,25476.99056,TWh
2011,25200.32583,TWh
2012,25482.41556,TWh
2013,26268.14056,TWh
2014,26850.79611,TWh
2015,27282.17139,TWh
2016,28045.97389,TWh
2017,28835.65389,TWh
2018,29959.75861,TWh
2019,30840.28944,TWh
2020,31082.16167,TWh
2021,32428.30806,TWh
2022,32911.60028,TWh
2023,35741.32642,TWh
