Entity,years,Coal production,Oil production,Gas production,unit,production
World,1981,21445.264,33858.336,14530.98,TWh,
World,1982,22204.45,32518.732,14597.483,TWh,
World,1983,22137.21,32122.473,14728.052,TWh,
World,1984,23105.666,32752.219,15988.612,TWh,
World,1985,24276.508,32465.682,16410.338,TWh,
World,1986,24852.295,34069.39,16834.781,TWh,
World,1987,25321.266,34148.09,17678.572,TWh,
World,1988,25936.305,35607.57,18457.764,TWh,
World,1989,26394.465,36037.48,19096.992,TWh,
World,1990,26344.957,36726.777,19697.164,TWh,
World,1991,25628.818,36627.707,19959.688,TWh,
World,1992,25572.447,37157.996,20018.34,TWh,
World,1993,24802.262,37105.156,20246.295,TWh,
World,1994,25371.623,37619.203,20542.516,TWh,
World,1995,26146.615,38135.516,20883.5,TWh,
World,1996,26502.912,39151.24,21899.963,TWh,
World,1997,26894.896,40023.2,21882.97,TWh,
World,1998,26412.506,41034.703,22462.334,TWh,
World,1999,26421.326,40104.69,23102.75,TWh,
World,2000,26812.184,41863.727,24007.166,TWh,
World,2001,27948.334,41854.504,24574.18,TWh,
World,2002,28287.195,41349.258,25147.336,TWh,
World,2003,30361.137,43184.227,26046.873,TWh,
World,2004,32984.98,45349.15,26932.35,TWh,
World,2005,35060.26,45735.105,27577.504,TWh,
World,2006,36829.766,46140.66,28517.908,TWh,
World,2007,38453.367,46042.082,29278.344,TWh,
World,2008,39718.855,46532.49,30349.936,TWh,
World,2009,39704.535,45375.168,29408.73,TWh,
World,2010,41834.363,46271.11,31501.742,TWh,
World,2011,44789.605,46628.05,32575.154,TWh,
World,2012,45253.773,47925.867,33265.63,TWh,
World,2013,45978.477,47984.973,33660.957,TWh,
World,2014,45850.832,49109.766,34356.14,TWh,
World,2015,44570.035,50752.184,35059.98,TWh,
World,2016,42189.684,50948.1,35076.668,TWh,
World,2017,43191.312,51020.32,36709.18,TWh,
World,2018,45143.613,52221.39,38453.266,TWh,
World,2019,45783.21,52188.836,39640.457,TWh,
World,2020,43483.91,48708.867,38661.79,TWh,
World,2021,45202.457,49286.684,40437.043,TWh,
World,2022,48358.03,51519.516,40486.11,TWh,
World,2023,49789.156,52432.227,40592.312,TWh,
