years,production,unit
1965,6303.8203,TWh
1966,6868.814,TWh
1967,7374.058,TWh
1968,8044.3477,TWh
1969,8833.434,TWh
1970,9614.809,TWh
1971,10293.19,TWh
1972,10861.713,TWh
1973,11377.832,TWh
1974,11659.859,TWh
1975,11659.736,TWh
1976,12354.139,TWh
1977,12759.838,TWh
1978,13293.947,TWh
1979,14118.029,TWh
1980,14236.961,TWh
1981,14395.873,TWh
1982,14469.731,TWh
1983,14703.826,TWh
1984,15902.676,TWh
1985,16262.217,TWh
1986,16421.107,TWh
1987,17281.893,TWh
1988,18088.842,TWh
1989,18888.648,TWh
1990,19481.15,TWh
1991,19972.836,TWh
1992,20063.482,TWh
1993,20265.48,TWh
1994,20389.613,TWh
1995,21104.492,TWh
1996,22159.254,TWh
1997,22030.39,TWh
1998,22433.998,TWh
1999,23071.902,TWh
2000,23994.256,TWh
2001,24316.832,TWh
2002,25028.285,TWh
2003,25727.73,TWh
2004,26734.273,TWh
2005,27438.982,TWh
2006,28161.389,TWh
2007,29315.703,TWh
2008,30026.688,TWh
2009,29405.7,TWh
2010,31593.82,TWh
2011,32349.117,TWh
2012,33203.137,TWh
2013,33720.777,TWh
2014,33961.7,TWh
2015,34752.11,TWh
2016,35229.348,TWh
2017,36517.57,TWh
2018,38321.438,TWh
2019,39084.453,TWh
2020,38714.09,TWh
2021,40239.016,TWh
2022,40086.875,TWh
2023,40101.74,TWh
