Entity,years,unit,production
World,1990,TWh,82793.46806
World,1991,TWh,82936.90861
World,1992,TWh,82756.93861
World,1993,TWh,83442.45333
World,1994,TWh,83909.28861
World,1995,TWh,85971.84472
World,1996,TWh,88145.4825
World,1997,TWh,89179.28639
World,1998,TWh,89465.70833
World,1999,TWh,91444.55972
World,2000,TWh,93822.62861
World,2001,TWh,94776.65167
World,2002,TWh,96919.55
World,2003,TWh,101029.5506
World,2004,TWh,105867.19
World,2005,TWh,109070.5481
World,2006,TWh,112404.6575
World,2007,TWh,116029.2067
World,2008,TWh,117157.3708
World,2009,TWh,115546.1642
World,2010,TWh,122588.6319
World,2011,TWh,125257.3619
World,2012,TWh,126692.7997
World,2013,TWh,128144.5494
World,2014,TWh,129481.3961
World,2015,TWh,129263.3089
World,2016,TWh,129960.4772
World,2017,TWh,132681.4917
World,2018,TWh,135365.7864
World,2019,TWh,136480.9619
World,2020,TWh,130071.7306
World,2021,TWh,138229.7597
World,2022,TWh,139917.3519
World,2023,TWh,139500.1165
