id,label,unit,definition,definitionSource,ACLTag
All_Demand,Demand for all resources,Mt,All resource demand ,,
CCS_constraint_factor,CCS constraint factor,,,,
CCS_price,Price of CCS,$/tCO2,Price of CCS,,
CO2_credits,CO2 Credits,$/ton/year,,,
CO2_emissions,CO2 Emissions,kgCO2/kWh,Carbon Dioxide Emissions for the entire aircraft fleet over the years ,,
CO2_emissions_detailed,CO2 Emissions Detailed,kgCO2/kWh,,,
CO2_per_use,CO2 per use,kgCO2/kWh,,,
CO2_tax_ref,CO2 tax reference,$/tCO2,CO2 tax reference for objective computation,,
CO2_taxes,CO2 Taxes,$/tCO2,,,
CO2_taxes_all_scenario,CO2 Taxes all scenario,$/ton_CO2,,,
CO2_taxes_array,CO2 Taxes Array,$/t,,,
CO2_taxes_scenario,Scenario CO2 Taxes,$/ton_CO2,,,
age_distrib_production,Age distribution of production plants,TWh,Production Plants Age Distribution,,
all_invest_df,Total Energy Mix Investments,G$,Total Energy mix Investments,,
all_streams_demand_ratio,Ratios of Energy Consumption vs Production,-,,,
alpha,Alpha,-,Weight of utility objective in optimisation objective function. The weight of climate part is 1- alpha ,,
applied_ratio,Applied ratio,-,,,
biodiesel_Transesterification_array_mix,Biodiesel Transesterification data mix,%,,,
biodiesel_array_mix,Biodiesel data mix,%,,,
biogas_AnaerobicDigestion_array_mix,Biogas AnaerobicDigestion array mix,%,,,
biogas_array_mix,Biogas array mix,%,,,
biomass_dry_CropEnergy_array_mix,Biomass dry CropEnergy array mix,%,,,
biomass_dry_ManagedWood_array_mix,Biomass dry ManagedWood array mix,%,,,
biomass_dry_UnmanagedWood_array_mix,Biomass dry UnmanagedWood array mix,%,,,
biomass_dry_array_mix,Biomass dry array mix,%,,,
cache_file_path,Cache File Path,,Path for the cache file id the option cache type is set to Hdf5Cache,,
cache_type,Cache Type,,"Type of cache in GEMS (could be simple, full memory or stored in a Hdf5 file",,
carbon_capture_array_mix,Carbon capture array mix,%,,,
carbon_capture_direct_air_capture_AmineScrubbing_array_mix,Carbon capture direct air capture AmineScrubbing array mix,%,,,
carbon_capture_direct_air_capture_CalciumPotassiumScrubbing_array_mix,Carbon capture direct air capture CalciumPotassiumScrubbing array mix,%,,,
carbon_capture_flue_gas_capture_CalciumLooping_array_mix,Carbon capture flue gas capture CalciumLooping array mix,%,,,
carbon_capture_flue_gas_capture_MonoEthanolAmine_array_mix,Carbon capture flue gas capture MonoEthanolAmine array mix,%,,,
carbon_captured_type,Carbon Capture Production by type,Mt,Production of carbon capture by type (flue gas or DAC) ,,
carbon_captured_type_woratio,Carbon captured type woratio,,,,
carbon_quantity_to_be_stored,Carbon quantity to be stored,Mt,Rest of carbon quantity after cabon demand sell that needs to be stored ,,
carbon_storage_DeepSalineFormation_array_mix,Carbon storage DeepSalineFormation array mix,%,,,
carbon_storage_DepletedOilGas_array_mix,Carbon storage DepletedOilGas array mix,%,,,
carbon_storage_GeologicMineralization_array_mix,Carbon storage GeologicMineralization array mix,%,,,
carbon_storage_PureCarbonSolidStorage_array_mix,Carbon storage PureCarbonSolidStorage array mix,%,,,
carbon_storage_Reforestation_array_mix,Carbon storage Reforestation array mix,%,,,
carbon_storage_array_mix,Carbon storage array mix,%,,,
carbon_storage_constraint,Carbon storage constraint,,,,
carbon_to_be_stored_constraint,Carbon to be stored constraint,Mt,,,
carbonstorage_constraint_ref,Carbonstorage constraint ref,MT,,,
carbonstorage_limit,Carbonstorage limit,MT,,,
ccs_invest_df,CCS invest df,G$,,,
ccs_investment,CCS investment,G$,,,
ccs_list,List of CCS streams,,List of Carbon Capture and Storage Streams ,,
ccs_percentage,CCS percentage,,,,
ccs_percentage_array,CCS percentage array,$/t,,,
co2_emissions,CO2 emissions,Mt,,,
co2_emissions_Gt,CO2 Emissions,GtCO2,CO2 emissions over the years ,,
co2_emissions_by_energy,CO2 emissions by energy,Mt,,,
co2_emissions_objective,CO2 emissions objective,-,,,
data_fuel_dict,Energy Properties,,,,
delta_co2_emissions,CO2 emissions Delta,kgCO2/kWh,,,
delta_co2_price,Delta CO2 price,,,,
delta_energy_prices,Energies Prices Delta,$/MWh,,,
demand_max_production,Demand max production,TWh,,,
demand_violation,Demand violation,TWh,,,
design_space,Design Space,,,,
electricity_CoalGen_array_mix,Electricity CoalGen array mix,%,,,
